# BUS - Operating Systems: Kahoot-Style Multiple Choice Questions
# Format: Question | Correct Answer | Wrong A | Wrong B | Wrong C | Explanation
# (Kahoot-style: short answer options, questions may include context)

## Operating System Basics

What lies between applications and hardware and manages resources safely? | Operating System | Compiler | Web browser | Database | The OS is the software layer between apps and hardware; it abstracts the hardware and manages resources safely.
What is the main job of the OS from the user perspective? | Easy abstraction to hardware | Compile programs | Render graphics | Manage networks | From the user view the OS provides an easy abstraction to operate the hardware.
Which OS service is NOT one of the 5 main managements? | Password management | Program management | Memory management | File management | The 5 managements are program, memory, file, network and human interface - not password management.
Which component executes programs and understands an instruction set? | CPU | RAM | Bus | GPU | The CPU fetches, decodes and executes instructions defined by its instruction set.
What is the communication layer linking all hardware components? | Bus | Cache | Register | ALU | The bus is the communication layer that links all hardware components.
Which operation may break the system? | Modify device state | Read a file | Print a document | Open a browser | Modifying device state or accessing restricted memory can break the system, so the OS isolates these.
How many protection domains are usually provided? | 2 | 3 | 4 | 1 | Usually two domains: supervisor mode and user mode.
Which mode has the highest privilege level? | Supervisor mode | User mode | Guest mode | Safe mode | Supervisor (S) mode has the highest privilege; all operations are allowed.
Which mode is used by regular user applications? | User mode | Supervisor mode | Kernel mode | Ring 0 | User (U) mode is the lowest privilege level used by programs outside the kernel.
x86 provides how many processor privilege levels? | 4 | 2 | 3 | 1 | x86 provides 4 rings, with ring 0 being the most privileged.
How do applications in User mode switch to Supervisor mode? | System call | Direct jump | Reboot | Fork | A system call provides the controlled interface to switch from user to supervisor mode.
What does the OS check during a system call? | Permission and valid args | File size | Screen resolution | Battery level | The OS checks whether the program is allowed and whether the passed arguments are valid.

## Kernels

Which is NOT one of the 4 kernel types? | Distributed kernel | Monolithic | Microkernel | Unikernel | The four types are monolithic, microkernel, hybrid and unikernel - not distributed.
Monolithic kernels provide a high-level interface through... | System calls | Web APIs | Shell scripts | BIOS | Monolithic kernels expose a high-level interface through system calls.
What is a key disadvantage of monolithic kernels? | Limited safety | Slow startup | No drivers | Small size | If one component crashes, the whole monolithic kernel crashes - limited safety.
